blockSize:  3217698	 numOfThread:    1	 matchCount: 21625	 runningTime:    50.000000
blockSize:  1608849	 numOfThread:    2	 matchCount: 21625	 runningTime:    30.000000
blockSize:  1072566	 numOfThread:    3	 matchCount: 21625	 runningTime:    10.000000
blockSize:  804424	 numOfThread:    4	 matchCount: 21625	 runningTime:    20.000000
blockSize:  643539	 numOfThread:    5	 matchCount: 21625	 runningTime:    20.000000
blockSize:  536283	 numOfThread:    6	 matchCount: 21625	 runningTime:    20.000000
blockSize:  459671	 numOfThread:    7	 matchCount: 21625	 runningTime:    10.000000
blockSize:  402212	 numOfThread:    8	 matchCount: 21625	 runningTime:    20.000000
blockSize:  357522	 numOfThread:    9	 matchCount: 21625	 runningTime:    20.000000
blockSize:  321769	 numOfThread:    10	 matchCount: 21625	 runningTime:    20.000000
blockSize:  292518	 numOfThread:    11	 matchCount: 21625	 runningTime:    10.000000
blockSize:  268141	 numOfThread:    12	 matchCount: 21625	 runningTime:    20.000000
blockSize:  247515	 numOfThread:    13	 matchCount: 21625	 runningTime:    20.000000
blockSize:  229835	 numOfThread:    14	 matchCount: 21625	 runningTime:    20.000000
blockSize:  214513	 numOfThread:    15	 matchCount: 21625	 runningTime:    20.000000
blockSize:  201106	 numOfThread:    16	 matchCount: 21625	 runningTime:    10.000000
blockSize:  189276	 numOfThread:    17	 matchCount: 21625	 runningTime:    20.000000
blockSize:  178761	 numOfThread:    18	 matchCount: 21625	 runningTime:    20.000000
blockSize:  169352	 numOfThread:    19	 matchCount: 21625	 runningTime:    20.000000
blockSize:  160884	 numOfThread:    20	 matchCount: 21625	 runningTime:    20.000000
blockSize:  153223	 numOfThread:    21	 matchCount: 21625	 runningTime:    10.000000
blockSize:  146259	 numOfThread:    22	 matchCount: 21625	 runningTime:    20.000000
blockSize:  139899	 numOfThread:    23	 matchCount: 21625	 runningTime:    20.000000
blockSize:  134070	 numOfThread:    24	 matchCount: 21625	 runningTime:    20.000000
blockSize:  128707	 numOfThread:    25	 matchCount: 21625	 runningTime:    20.000000
blockSize:  123757	 numOfThread:    26	 matchCount: 21625	 runningTime:    10.000000
blockSize:  119174	 numOfThread:    27	 matchCount: 21625	 runningTime:    20.000000
blockSize:  114917	 numOfThread:    28	 matchCount: 21625	 runningTime:    20.000000
blockSize:  110955	 numOfThread:    29	 matchCount: 21625	 runningTime:    20.000000
blockSize:  107256	 numOfThread:    30	 matchCount: 21625	 runningTime:    10.000000
blockSize:  103796	 numOfThread:    31	 matchCount: 21625	 runningTime:    20.000000
blockSize:  100553	 numOfThread:    32	 matchCount: 21625	 runningTime:    20.000000
blockSize:  97506	 numOfThread:    33	 matchCount: 21625	 runningTime:    20.000000
blockSize:  94638	 numOfThread:    34	 matchCount: 21625	 runningTime:    20.000000
blockSize:  91934	 numOfThread:    35	 matchCount: 21625	 runningTime:    10.000000
blockSize:  89380	 numOfThread:    36	 matchCount: 21625	 runningTime:    20.000000
blockSize:  86964	 numOfThread:    37	 matchCount: 21625	 runningTime:    20.000000
blockSize:  84676	 numOfThread:    38	 matchCount: 21625	 runningTime:    20.000000
blockSize:  82505	 numOfThread:    39	 matchCount: 21625	 runningTime:    20.000000
blockSize:  80442	 numOfThread:    40	 matchCount: 21625	 runningTime:    20.000000
